Designator,Mid X,Mid Y,Rotation,Layer
C1,137.401675,-97.988676,90.0,top
C10,135.411675,-97.758676,90.0,top
C11,139.241675,-101.968676,90.0,top
C12,137.621675,-112.468676,270.0,top
C13,132.811675,-88.338676,180.0,top
C14,135.875149,-93.871176,180.0,top
C15,138.731675,-115.698676,90.0,top
C16,134.881675,-113.938676,0.0,top
C17,133.996675,-98.108676,0.0,top
C18,139.301675,-113.808676,90.0,top
C2,136.411675,-97.988676,90.0,top
C3,140.221675,-102.338676,90.0,top
C4,141.201675,-102.938676,90.0,top
C5,141.201675,-101.058676,90.0,top
C6,131.271675,-103.778676,180.0,top
C7,130.776675,-108.383676,180.0,top
C8,136.601675,-112.508676,270.0,top
C9,143.281675,-109.748676,0.0,top
D1,130.641675,-129.158676,0.0,top
D2,142.803235,-85.816959,270.0,top
J1,136.553235,-82.066959,180.0,top
J2,127.663235,-105.066959,0.0,bottom
J3,145.443235,-105.066959,0.0,bottom
J4,136.553235,-129.196959,270.0,bottom
R1,140.621675,-87.868676,0.0,top
R11,141.141675,-96.208676,0.0,top
R2,136.625149,-88.651176,0.0,top
R3,138.251675,-101.578676,270.0,top
R4,137.251675,-101.578676,270.0,top
R5,136.821675,-113.938676,180.0,top
R6,132.161675,-96.108676,180.0,top
R7,132.086675,-98.108676,0.0,top
R8,131.316675,-127.373676,270.0,top
R9,142.45,-88.348676,90.0,top
SW1,132.453235,-92.566959,270.0,top
SW2,140.653235,-92.566959,270.0,top
U1,136.553235,-107.066959,90.0,top
U2,133.071675,-99.908676,0.0,top
U3,135.875149,-91.141176,270.0,top
Y1,136.081675,-116.238676,180.0,top
